time,"ln_RV_d,t","ln_RV_w,t","ln_RV_m,t","RV_d,t","RV_w,t","RV_m,t",volume,IPNMAT,UEMPMEAN,USCONS,BUSLOANS,AAAFFM
2016-07-01,-11.941223918927816,-11.46487132801776,-11.04588544907682,6.516169081294721e-06,1.0492274557638576e-05,1.595265238103518e-05,88143.2615943,99.316,27.8,6735,2057.8934,2.89
2016-07-02,-11.876694508999057,-11.527461370350736,-11.0438401175738,6.950517025480556e-06,9.85569230858828e-06,1.598531423427912e-05,25168.05782676,99.316,27.8,6735,2057.8934,2.89
2016-07-03,-11.5405735271345,-11.581515613485122,-11.038155602532536,9.727306472857407e-06,9.337092838041188e-06,1.607644175597818e-05,56409.20211433,99.316,27.8,6735,2057.8934,2.89
2016-07-04,-11.71154196491465,-11.575498405169787,-11.031653396423067,8.198642510368137e-06,9.39344544336111e-06,1.6181314676965715e-05,42460.63076093,99.316,27.8,6735,2057.8934,2.89
2016-07-05,-10.738271240191754,-11.477297024091744,-10.997506295398416,2.1698417199534137e-05,1.0362707391047996e-05,1.6743401871840024e-05,321774.00260211,99.316,27.8,6735,2057.8934,2.89
2016-07-06,-11.323740628942552,-11.471139434703922,-10.98458678659556,1.2082642626110724e-05,1.0426713547686154e-05,1.6961121788541792e-05,95985.54012241,99.316,27.8,6735,2057.8934,2.89
2016-07-07,-11.340895553476663,-11.416955392484844,-10.972718894390775,1.18771335896308e-05,1.1007261215039496e-05,1.7163613753314574e-05,83616.95588317,99.316,27.8,6735,2057.8934,2.89
2016-07-08,-11.304560287751505,-11.34437341649034,-10.961371784474371,1.231662862653621e-05,1.183589829293114e-05,1.7359480323292124e-05,175241.63939423,99.316,27.8,6735,2057.8934,2.89
2016-07-09,-10.812558890196003,-11.196596781206706,-10.93235912662784,2.014491033732184e-05,1.3720811623194178e-05,1.787050219274659e-05,135106.67105525002,99.316,27.8,6735,2057.8934,2.89
2016-07-10,-11.567588123291635,-11.19929978786842,-10.92264377407714,9.468044907028393e-06,1.3683774256647178e-05,1.8044966540854563e-05,22276.63975741,99.316,27.8,6735,2057.8934,2.89
2016-07-11,-11.786309207766816,-11.205485040529936,-10.917620591388005,7.608007797856833e-06,1.3599397869145565e-05,1.813583774466308e-05,82724.29348097001,99.316,27.8,6735,2057.8934,2.89
2016-07-12,-12.07568449259465,-11.389523698867745,-10.920328825435156,5.696352543526238e-06,1.1313388632573004e-05,1.808678810034736e-05,42574.01568257,99.316,27.8,6735,2057.8934,2.89
2016-07-13,-12.312475095705574,-11.490236369741195,-10.936474367696151,4.495313736484733e-06,1.022948450548358e-05,1.779711188119702e-05,18745.82214777,99.316,27.8,6735,2057.8934,2.89
2016-07-14,-11.879408987640389,-11.561801629915466,-10.957418838065456,6.93167557938943e-06,9.522990504020526e-06,1.742823722533956e-05,125971.93914941,99.316,27.8,6735,2057.8934,2.89
2016-07-15,-11.04715456043463,-11.508980052187182,-10.947746964700473,1.593241953029722e-05,1.0039532061700669e-05,1.7597618726573913e-05,174559.01488763,99.316,27.8,6735,2057.8934,2.89
2016-07-16,-12.19347001789692,-11.750544243498426,-10.959656127286372,5.063411877016198e-06,7.885032281657006e-06,1.738928880374388e-05,39799.27251488,99.316,27.8,6735,2057.8934,2.89
2016-07-17,-12.015541802653392,-11.81448163413438,-11.141986936429513,6.049458448011544e-06,7.396662787511742e-06,1.44909399272634e-05,162766.23287406,99.316,27.8,6735,2057.8934,2.89
2016-07-18,-11.835512509940122,-11.821561536368678,-11.267088244364976,7.242728847515431e-06,7.344480080320113e-06,1.27869141198588e-05,76357.06835738,99.316,27.8,6735,2057.8934,2.89
2016-07-19,-11.733090464955456,-11.777284094903353,-11.32843978806742,8.023863932963535e-06,7.676981707382584e-06,1.202599756208326e-05,215752.89103258,99.316,27.8,6735,2057.8934,2.89
2016-07-20,-11.159581943019074,-11.610668087354414,-11.364514534998428,1.4238201729165045e-05,9.068822849194056e-06,1.1599894728778588e-05,473086.03008494,99.316,27.8,6735,2057.8934,2.89
2016-07-21,-12.097891529951893,-11.632331265951052,-11.429912962947393,5.571247675305906e-06,8.874476005753555e-06,1.086555392603655e-05,154832.25988355,99.316,27.8,6735,2057.8934,2.89
2016-07-22,-11.27483524701674,-11.685967652702422,-11.462298873877431,1.2688236583352052e-05,8.411021299047102e-06,1.051930019897374e-05,462465.33839043,99.316,27.8,6735,2057.8934,2.89
2016-07-23,-11.555950395924851,-11.612073377547276,-11.477525642454076,9.578875087193249e-06,9.056087471929535e-06,1.0360338556644764e-05,190408.76079429,99.316,27.8,6735,2057.8934,2.89
2016-07-24,-10.962764351737512,-11.448228785459497,-11.472534662695912,1.7335322903608636e-05,1.0668353822729122e-05,1.0412176049000808e-05,474125.61032418,99.316,27.8,6735,2057.8934,2.89
2016-07-25,-11.728266738196828,-11.437309106973167,-11.483297567825844,8.062662361402073e-06,1.0785487181855785e-05,1.0300711702086458e-05,216655.35443348,99.316,27.8,6735,2057.8934,2.89
2016-07-26,-11.334947055150836,-11.386638479937131,-11.487869199660434,1.1947995250187936e-05,1.13460773700307e-05,1.0253728118203154e-05,419861.88934467,99.316,27.8,6735,2057.8934,2.89
2016-07-27,-11.630436000690354,-11.456333821136216,-11.484341309991056,8.891311440602122e-06,1.0582235900235996e-05,1.0289966023785602e-05,348220.53125043,99.316,27.8,6735,2057.8934,2.89
2016-07-28,-12.0970667094707,-11.45627176252285,-11.515056928265064,5.575844850155647e-06,1.0582892639500246e-05,9.978708066599927e-06,86518.76034436,99.316,27.8,6735,2057.8934,2.89
2016-07-29,-12.071839784405771,-11.555083062244938,-11.535017922795484,5.718295511922531e-06,9.58718677215317e-06,9.781497932675887e-06,54379.01322551,99.316,27.8,6735,2057.8934,2.89
2016-07-30,-12.535605257292602,-11.64845507375738,-11.549492852332326,3.596299142329789e-06,8.732533065744104e-06,9.640931240148302e-06,51579.83771011,99.316,27.8,6735,2057.8934,2.89
2016-07-31,-11.720011431603568,-11.811679921875186,-11.54393029988234,8.129497604295516e-06,7.4174151658422305e-06,9.69470885758166e-06,120132.76130186,99.316,27.8,6735,2057.8934,2.89
2016-08-01,-11.556741299082388,-11.783038103634926,-11.53495960745148,9.571302119777833e-06,7.632935131324481e-06,9.782068360724905e-06,118734.67743493,99.0409,27.2,6736,2051.4168,2.92
2016-08-02,-10.79665305634605,-11.635085924567225,-11.499013887471753,2.046789378517925e-05,8.850063493466098e-06,1.01400879378023e-05,257926.05614034,99.0409,27.2,6736,2051.4168,2.92
2016-08-11,-12.098704850020328,-11.690244958847494,-11.50770341054945,5.566718309926911e-06,8.375121617655354e-06,1.0052357131120923e-05,101343.55407769,99.0409,27.2,6736,2051.4168,2.92
2016-08-12,-12.984002353936113,-11.747802105271068,-11.574201484962742,2.296780142420314e-06,7.906683802264591e-06,9.405635895883798e-06,75096.21691571,99.0409,27.2,6736,2051.4168,2.92
2016-08-13,-12.338637945307186,-11.77229371136809,-11.60188177594038,4.379228698536664e-06,7.715388543209467e-06,9.148855431631329e-06,40660.83254658,99.0409,27.2,6736,2051.4168,2.92
2016-08-14,-12.19714201036716,-11.74582585586421,-11.627089871317802,5.044853161315304e-06,7.92232483163597e-06,8.921112750687479e-06,52993.28153932,99.0409,27.2,6736,2051.4168,2.92
2016-08-15,-12.478514391131592,-11.826963927713498,-11.65939990493812,3.80758894821971e-06,7.3049093093394255e-06,8.637478094743596e-06,43786.13180655,99.0409,27.2,6736,2051.4168,2.92
2016-08-16,-12.184556122441329,-11.918280334678638,-11.719178382620251,5.108748363292633e-06,6.6674016298415406e-06,8.13627269560929e-06,21051.64842288,99.0409,27.2,6736,2051.4168,2.92
2016-08-17,-10.9599634517659,-11.986641964810245,-11.687262656087537,1.7383945470723478e-05,6.226837584919288e-06,8.400136047732458e-06,130249.21741963,99.0409,27.2,6736,2051.4168,2.92
2016-08-18,-13.087022023945869,-12.070216673147632,-11.70947569006862,2.071946563024148e-06,5.727584478218893e-06,8.215600673238036e-06,46372.11845791,99.0409,27.2,6736,2051.4168,2.92
2016-08-19,-12.445209104501345,-12.030132156789538,-11.71664143948652,3.936537199394336e-06,5.96183548635804e-06,8.156940161766973e-06,40367.28501334,99.0409,27.2,6736,2051.4168,2.92
2016-08-20,-12.188978497684836,-12.01333351320834,-11.714229671365535,5.086205444368849e-06,6.0628321643340656e-06,8.176636552029775e-06,55485.10040819,99.0409,27.2,6736,2051.4168,2.92
2016-08-21,-12.47906947044085,-12.042971576697138,-11.727056018144994,3.8054760208517726e-06,5.88577828712499e-06,8.072429900078521e-06,14545.72308191,99.0409,27.2,6736,2051.4168,2.92
2016-08-22,-12.38002970210604,-12.03345218351434,-11.77670811785027,4.201664918296635e-06,5.942074854278836e-06,7.681404746345168e-06,23531.70275502,99.0409,27.2,6736,2051.4168,2.92
2016-08-23,-11.957169954516814,-12.002575415220011,-11.770868313065211,6.413086084077108e-06,6.128408814390904e-06,7.726393886580531e-06,18375.13975651,99.0409,27.2,6736,2051.4168,2.92
2016-08-24,-11.892095440215405,-12.28452206205413,-11.767445092345868,6.844292667461738e-06,4.622744128210655e-06,7.752888360562205e-06,10795.62839765,99.0409,27.2,6736,2051.4168,2.92
2016-08-25,-11.734342188061486,-12.115942380562313,-11.764135262169104,8.013826560395152e-06,5.471584127835085e-06,7.778591617658194e-06,23704.62476134,99.0409,27.2,6736,2051.4168,2.92
2016-08-26,-11.266204309703769,-11.907815820339158,-11.743882350578469,1.2798221913398276e-05,6.737539086978505e-06,7.937736883672686e-06,8589.62085501,99.0409,27.2,6736,2051.4168,2.92
2016-08-27,-11.726851859522448,-11.846389305576594,-11.770108582201289,8.074078124491408e-06,7.164378041281726e-06,7.732266096850233e-06,2632.45481956,99.0409,27.2,6736,2051.4168,2.92
2016-08-28,-10.47291445251117,-11.448775608910507,-11.676663894847405,2.8292481711596586e-05,1.066252171138813e-05,8.489640564726588e-06,11225.20229877,99.0409,27.2,6736,2051.4168,2.92
2016-08-29,-10.890594503548154,-11.272013298479584,-11.653592188052816,1.863266185456765e-05,1.2724092702283989e-05,8.687788073767109e-06,17631.45554742,99.0409,27.2,6736,2051.4168,2.92
