Frequency,Risk Group,Ticker,MSE,R²
hourly,Low,BTC-USD,6.100476145958836,0.03797441097640364
hourly,Low,ETH-USD,5.934582971468532,0.03143638709584251
hourly,Medium,XRP-USD,6.050096291555469,0.13741888635724686
hourly,High,DOGE-USD,6.524613660853849,-0.0442277366468804
hourly,High,SOL-USD,6.511406369727041,-0.0776801652918262
3hourly,Low,BTC-USD,2.157549328682435,0.08745591354653248
3hourly,Low,ETH-USD,1.8897166146842155,0.12301783286507562
3hourly,Medium,XRP-USD,1.90047203240755,0.36893890669003526
3hourly,High,DOGE-USD,1.7710564613915885,0.18668226170948643
3hourly,High,SOL-USD,1.6005618662116194,0.1268838838369839
daily,Low,BTC-USD,1.0869076705670448,-0.031655411181525706
daily,Low,ETH-USD,0.8575320710266046,0.06847765728959487
daily,Medium,XRP-USD,1.3105793994106985,0.3251968097624708
daily,High,DOGE-USD,0.8515029695331056,0.11671190728956293
daily,High,SOL-USD,0.7159907993399738,0.035647354501674
