Date,Ticker,Risk Group,Frequency,Predicted,Actual
2024-10-20 21:00:00+00:00,ETH-USD,Low,hourly,-13.474514450741296,-15.458034313260894
2024-10-20 22:00:00+00:00,ETH-USD,Low,hourly,-12.93329526651777,-8.900296550339293
2024-10-20 23:00:00+00:00,ETH-USD,Low,hourly,-13.483968725056616,-13.683802336565
2024-10-21 00:00:00+00:00,ETH-USD,Low,hourly,-12.750435966386434,-13.418824989829025
2024-10-21 01:00:00+00:00,ETH-USD,Low,hourly,-12.937259921386433,-13.563344812141349
2024-10-21 02:00:00+00:00,ETH-USD,Low,hourly,-13.197291714546566,-10.641011454681555
2024-10-21 03:00:00+00:00,ETH-USD,Low,hourly,-13.212056501537754,-15.650042038975824
2024-10-21 04:00:00+00:00,ETH-USD,Low,hourly,-13.09142117887636,-13.202829588792826
2024-10-21 05:00:00+00:00,ETH-USD,Low,hourly,-13.302386891961083,-17.960553961866875
2024-10-21 06:00:00+00:00,ETH-USD,Low,hourly,-12.813482605397231,-11.474602639260066
2024-10-21 07:00:00+00:00,ETH-USD,Low,hourly,-13.438025119466978,-12.279654727132954
2024-10-21 08:00:00+00:00,ETH-USD,Low,hourly,-13.542649542693704,-12.014868010688328
2024-10-21 09:00:00+00:00,ETH-USD,Low,hourly,-13.240008986498824,-12.406339353382233
2024-10-21 10:00:00+00:00,ETH-USD,Low,hourly,-13.109400645021523,-12.272447954289955
2024-10-21 11:00:00+00:00,ETH-USD,Low,hourly,-13.079082498072285,-17.796649494732243
2024-10-21 12:00:00+00:00,ETH-USD,Low,hourly,-12.9934633762567,-11.699684525698222
2024-10-21 13:00:00+00:00,ETH-USD,Low,hourly,-13.161662241884464,-9.494323523453808
2024-10-21 14:00:00+00:00,ETH-USD,Low,hourly,-12.791604690577497,-13.786683818345402
2024-10-21 15:00:00+00:00,ETH-USD,Low,hourly,-13.108699898127178,-12.05539445614599
2024-10-21 16:00:00+00:00,ETH-USD,Low,hourly,-12.79358907566184,-11.81661221050718
2024-10-21 17:00:00+00:00,ETH-USD,Low,hourly,-13.242909863932438,-12.342959166688466
2024-10-21 18:00:00+00:00,ETH-USD,Low,hourly,-12.68379732109268,-11.53765671108657
2024-10-21 19:00:00+00:00,ETH-USD,Low,hourly,-12.86350082450732,-10.226165853260476
2024-10-21 20:00:00+00:00,ETH-USD,Low,hourly,-12.347452123829461,-11.68098177132364
2024-10-21 21:00:00+00:00,ETH-USD,Low,hourly,-12.612647423968365,-16.240554228684427
2024-10-21 22:00:00+00:00,ETH-USD,Low,hourly,-11.92546567229226,-18.448018033176727
2024-10-21 23:00:00+00:00,ETH-USD,Low,hourly,-12.786970651378216,-11.316827026573502
2024-10-22 00:00:00+00:00,ETH-USD,Low,hourly,-13.323892493244744,-8.9308947540628
2024-10-22 01:00:00+00:00,ETH-USD,Low,hourly,-13.138120159780515,-11.3191406852838
2024-10-22 02:00:00+00:00,ETH-USD,Low,hourly,-12.456133160152065,-10.990208136192544
2024-10-22 03:00:00+00:00,ETH-USD,Low,hourly,-12.79784416359184,-11.442014182511508
2024-10-22 04:00:00+00:00,ETH-USD,Low,hourly,-12.396733581732493,-13.485568694959513
2024-10-22 05:00:00+00:00,ETH-USD,Low,hourly,-12.733709829393641,-12.619272975015573
2024-10-22 06:00:00+00:00,ETH-USD,Low,hourly,-12.219861907575565,-11.438194040130831
2024-10-22 07:00:00+00:00,ETH-USD,Low,hourly,-12.332467386746686,-11.473259177481593
2024-10-22 08:00:00+00:00,ETH-USD,Low,hourly,-12.219833830609678,-10.352433384307467
2024-10-22 09:00:00+00:00,ETH-USD,Low,hourly,-12.18136601781855,-11.179838727234392
2024-10-22 10:00:00+00:00,ETH-USD,Low,hourly,-11.987989932357877,-10.854870285507252
2024-10-22 11:00:00+00:00,ETH-USD,Low,hourly,-12.409018040546796,-17.29131697444465
2024-10-22 12:00:00+00:00,ETH-USD,Low,hourly,-11.701951357552177,-11.171408686655806
2024-10-22 13:00:00+00:00,ETH-USD,Low,hourly,-12.05575509806708,-12.106731828774375
2024-10-22 14:00:00+00:00,ETH-USD,Low,hourly,-12.357490800731545,-9.654362708262273
2024-10-22 15:00:00+00:00,ETH-USD,Low,hourly,-12.175595030767129,-10.489364624085072
2024-10-22 16:00:00+00:00,ETH-USD,Low,hourly,-11.904103534916139,-10.132151559917718
2024-10-22 17:00:00+00:00,ETH-USD,Low,hourly,-11.811661486100213,-10.012045607908032
2024-10-22 18:00:00+00:00,ETH-USD,Low,hourly,-11.572187136060636,-13.04975741291162
2024-10-22 19:00:00+00:00,ETH-USD,Low,hourly,-11.298624005554085,-11.395140518328118
2024-10-22 20:00:00+00:00,ETH-USD,Low,hourly,-11.604113924586699,-12.990074529246636
2024-10-22 21:00:00+00:00,ETH-USD,Low,hourly,-11.997012165372006,-16.653370030537808
2024-10-22 22:00:00+00:00,ETH-USD,Low,hourly,-12.29565794581917,-13.219165402878712
2024-10-22 23:00:00+00:00,ETH-USD,Low,hourly,-12.080586645211229,-10.087635474596087
2024-10-23 00:00:00+00:00,ETH-USD,Low,hourly,-11.976977980927622,-11.46406487648078
2024-10-23 01:00:00+00:00,ETH-USD,Low,hourly,-12.006402658269641,-11.167974630893356
2024-10-23 02:00:00+00:00,ETH-USD,Low,hourly,-11.92282395321745,-11.107113010455087
2024-10-23 03:00:00+00:00,ETH-USD,Low,hourly,-11.88900924672128,-13.929686100643243
2024-10-23 04:00:00+00:00,ETH-USD,Low,hourly,-11.996904309983464,-16.8908121835804
2024-10-23 05:00:00+00:00,ETH-USD,Low,hourly,-12.109842440256271,-14.59475863312962
2024-10-23 06:00:00+00:00,ETH-USD,Low,hourly,-12.476455649965335,-15.61882347407635
2024-10-23 07:00:00+00:00,ETH-USD,Low,hourly,-12.689541029108737,-11.06799156270065
2024-10-23 08:00:00+00:00,ETH-USD,Low,hourly,-12.878134513256896,-9.04524675565045
2024-10-23 09:00:00+00:00,ETH-USD,Low,hourly,-12.77382097314325,-12.460010975252764
2024-10-23 10:00:00+00:00,ETH-USD,Low,hourly,-12.374874793179073,-15.178797036303788
2024-10-23 11:00:00+00:00,ETH-USD,Low,hourly,-12.967170676153073,-14.717684639185803
2024-10-23 12:00:00+00:00,ETH-USD,Low,hourly,-12.631176751062975,-11.484528749053334
2024-10-23 13:00:00+00:00,ETH-USD,Low,hourly,-12.922775269189215,-11.052308124065007
2024-10-23 14:00:00+00:00,ETH-USD,Low,hourly,-12.557800060170788,-9.793159845423496
2024-10-23 15:00:00+00:00,ETH-USD,Low,hourly,-12.484363762471148,-9.33015776416023
2024-10-23 16:00:00+00:00,ETH-USD,Low,hourly,-12.185286590936842,-7.911349810734117
2024-10-23 17:00:00+00:00,ETH-USD,Low,hourly,-11.89147429020755,-13.009318749392373
2024-10-23 18:00:00+00:00,ETH-USD,Low,hourly,-11.77263549741131,-12.563129422485932
2024-10-23 19:00:00+00:00,ETH-USD,Low,hourly,-11.745086803319307,-9.466316446396652
2024-10-23 20:00:00+00:00,ETH-USD,Low,hourly,-11.970826228686889,-12.95529461343857
2024-10-23 21:00:00+00:00,ETH-USD,Low,hourly,-12.054955066118971,-10.813978006596418
2024-10-23 22:00:00+00:00,ETH-USD,Low,hourly,-11.832648715969086,-11.838683076422637
2024-10-23 23:00:00+00:00,ETH-USD,Low,hourly,-11.447641967510648,-10.303906994371596
2024-10-24 00:00:00+00:00,ETH-USD,Low,hourly,-11.61124854666371,-9.80023526210702
2024-10-24 01:00:00+00:00,ETH-USD,Low,hourly,-11.454844096778594,-16.421048542798683
2024-10-24 02:00:00+00:00,ETH-USD,Low,hourly,-11.285366554964561,-10.88691637773337
2024-10-24 03:00:00+00:00,ETH-USD,Low,hourly,-12.050305759005878,-11.36542702967476
2024-10-24 04:00:00+00:00,ETH-USD,Low,hourly,-12.203632602894398,-11.715603082848007
2024-10-24 05:00:00+00:00,ETH-USD,Low,hourly,-11.912295614869882,-13.617658051449748
2024-10-24 06:00:00+00:00,ETH-USD,Low,hourly,-11.985699619340519,-11.682464193844712
2024-10-24 07:00:00+00:00,ETH-USD,Low,hourly,-11.734599126328138,-12.263585923501688
2024-10-24 08:00:00+00:00,ETH-USD,Low,hourly,-11.545946835701105,-9.699033859316655
2024-10-24 09:00:00+00:00,ETH-USD,Low,hourly,-11.926816691338335,-14.465976492818
2024-10-24 10:00:00+00:00,ETH-USD,Low,hourly,-11.95268879639714,-13.274876882264248
2024-10-24 11:00:00+00:00,ETH-USD,Low,hourly,-12.159904567027265,-13.529993499843927
2024-10-24 12:00:00+00:00,ETH-USD,Low,hourly,-11.97710380325968,-14.244082555063986
2024-10-24 13:00:00+00:00,ETH-USD,Low,hourly,-12.091773678658882,-12.526778939455305
2024-10-24 14:00:00+00:00,ETH-USD,Low,hourly,-12.190828706976756,-11.212178094075163
2024-10-24 15:00:00+00:00,ETH-USD,Low,hourly,-12.182118712845087,-17.33714808459876
2024-10-24 16:00:00+00:00,ETH-USD,Low,hourly,-11.957304233487305,-11.762729411479617
2024-10-24 17:00:00+00:00,ETH-USD,Low,hourly,-12.952842203394775,-13.5477222474171
2024-10-24 18:00:00+00:00,ETH-USD,Low,hourly,-12.7944383468233,-12.591273159852909
2024-10-24 19:00:00+00:00,ETH-USD,Low,hourly,-12.588165417951954,-10.650509585039815
